file	sentence	entity(E) or predicate(P)	 coref chain	indices	
armstrong_doping.txt.xml	1	E	4	1, 2, 3
armstrong_doping.txt.xml	2	E	4	1, 2, 3, 4, 5, 6, 7
armstrong_doping.txt.xml	2	E	4	1, 2, 3
armstrong_doping.txt.xml	3	E	4	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
armstrong_doping.txt.xml	3	E	4	7
armstrong_doping.txt.xml	3	E	4	9
armstrong_doping.txt.xml	4	E	4	1, 2
armstrong_doping.txt.xml	5	E	10	2
armstrong_doping.txt.xml	5	E	4	10, 11, 12
armstrong_doping.txt.xml	6	E	3	1, 2
armstrong_doping.txt.xml	6	E	4	6, 7
armstrong_doping.txt.xml	7	E	4	7
armstrong_doping.txt.xml	8	E	4	8
armstrong_doping.txt.xml	9	E	5	1, 2, 3
armstrong_doping.txt.xml	9	E	3	6
armstrong_doping.txt.xml	9	E	4	8, 9
armstrong_doping.txt.xml	9	E	5	18
armstrong_doping.txt.xml	11	E	4	1, 2
armstrong_doping.txt.xml	11	E	4	17
armstrong_doping.txt.xml	12	E	9	3, 4
armstrong_doping.txt.xml	12	E	1	6, 7, 8, 9, 10, 11
armstrong_doping.txt.xml	12	E	2	8, 9, 10, 11
armstrong_doping.txt.xml	12	E	4	8, 9, 10
armstrong_doping.txt.xml	12	E	1	14
armstrong_doping.txt.xml	12	E	6	18
armstrong_doping.txt.xml	13	E	3	1
armstrong_doping.txt.xml	13	E	4	5, 6
armstrong_doping.txt.xml	15	E	3	1
armstrong_doping.txt.xml	15	E	4	3, 4
armstrong_doping.txt.xml	16	E	4	1, 2
armstrong_doping.txt.xml	17	E	6	11
armstrong_doping.txt.xml	19	E	4	8, 9
armstrong_doping.txt.xml	21	E	4	5, 6
armstrong_doping.txt.xml	21	E	3	7
armstrong_doping.txt.xml	22	E	4	1, 2
armstrong_doping.txt.xml	24	E	4	1, 2, 3
armstrong_doping.txt.xml	24	E	4	6
armstrong_doping.txt.xml	27	E	3	1
armstrong_doping.txt.xml	27	E	4	5, 6
armstrong_doping.txt.xml	28	E	10	1
armstrong_doping.txt.xml	29	E	3	1
armstrong_doping.txt.xml	29	E	4	6, 7
armstrong_doping.txt.xml	30	E	7	5
armstrong_doping.txt.xml	30	E	7	6
armstrong_doping.txt.xml	30	E	4	9, 10
armstrong_doping.txt.xml	32	E	11	3, 4, 5, 6, 7
armstrong_doping.txt.xml	32	E	4	9, 10
armstrong_doping.txt.xml	33	E	4	1, 2
armstrong_doping.txt.xml	33	E	3	10
armstrong_doping.txt.xml	34	E	4	7, 8, 9
armstrong_doping.txt.xml	35	E	4	1, 2
armstrong_doping.txt.xml	36	E	9	7, 8
armstrong_doping.txt.xml	36	E	1	10, 11, 12, 13, 14, 15
armstrong_doping.txt.xml	36	E	2	12, 13, 14, 15
armstrong_doping.txt.xml	36	E	4	12, 13, 14
armstrong_doping.txt.xml	36	E	4	18
armstrong_doping.txt.xml	38	E	4	3, 4
armstrong_doping.txt.xml	38	E	4	10, 11
armstrong_doping.txt.xml	38	E	8	14
armstrong_doping.txt.xml	38	E	8	20
armstrong_doping.txt.xml	39	E	4	1, 2, 3
armstrong_doping.txt.xml	39	E	4	1
armstrong_doping.txt.xml	39	E	11	6
armstrong_doping.txt.xml	40	E	4	1, 2
armstrong_doping.txt.xml	40	E	3	10
armstrong_doping.txt.xml	41	E	3	7
armstrong_doping.txt.xml	41	E	4	13, 14
fresno_shooting.txt.xml	1	E	5	6, 7
fresno_shooting.txt.xml	2	E	5	10, 11
fresno_shooting.txt.xml	3	E	5	10
fresno_shooting.txt.xml	3	E	5	12
fresno_shooting.txt.xml	4	E	3	6, 7, 8
fresno_shooting.txt.xml	4	E	5	6
fresno_shooting.txt.xml	5	E	5	4
fresno_shooting.txt.xml	5	E	8	4, 5, 6
fresno_shooting.txt.xml	7	E	5	8
fresno_shooting.txt.xml	7	E	5	22
fresno_shooting.txt.xml	7	E	6	22, 23
fresno_shooting.txt.xml	9	E	5	18
fresno_shooting.txt.xml	9	E	5	20
fresno_shooting.txt.xml	12	E	1	6, 7, 8
fresno_shooting.txt.xml	12	E	4	6, 7, 8, 9
fresno_shooting.txt.xml	12	E	2	11, 12
fresno_shooting.txt.xml	13	E	5	8
fresno_shooting.txt.xml	14	E	1	6, 7, 8
fresno_shooting.txt.xml	14	E	2	11, 12
fresno_shooting.txt.xml	17	E	5	8
fresno_shooting.txt.xml	17	E	5	10
fresno_shooting.txt.xml	17	E	6	10, 11
fresno_shooting.txt.xml	18	E	5	3
fresno_shooting.txt.xml	18	E	10	3, 4, 5
fresno_shooting.txt.xml	19	E	5	13
fresno_shooting.txt.xml	19	E	8	13, 14, 15
fresno_shooting.txt.xml	20	E	5	11
fresno_shooting.txt.xml	21	E	5	12
fresno_shooting.txt.xml	21	E	5	14
fresno_shooting.txt.xml	22	E	1	7, 8, 9
fresno_shooting.txt.xml	22	E	3	12, 13, 14
fresno_shooting.txt.xml	22	E	5	12
fresno_shooting.txt.xml	23	E	5	5
fresno_shooting.txt.xml	24	E	5	11
fresno_shooting.txt.xml	24	E	10	11, 12
fresno_shooting.txt.xml	26	E	5	3
fresno_shooting.txt.xml	27	E	5	1
fresno_shooting.txt.xml	28	E	5	19
fresno_shooting.txt.xml	29	E	3	9, 10, 11
fresno_shooting.txt.xml	29	E	5	9
fresno_shooting.txt.xml	30	E	3	11, 12, 13
fresno_shooting.txt.xml	30	E	5	11
fresno_shooting.txt.xml	31	E	5	4
fresno_shooting.txt.xml	33	E	4	13, 14, 15, 16
fresno_shooting.txt.xml	33	E	5	18
fresno_shooting.txt.xml	35	E	7	3, 4, 5, 6, 7, 8
fresno_shooting.txt.xml	35	E	3	6, 7, 8
fresno_shooting.txt.xml	35	E	5	6
fresno_shooting.txt.xml	36	E	5	2
fresno_shooting.txt.xml	36	E	5	4
fresno_shooting.txt.xml	36	E	5	22
fresno_shooting.txt.xml	38	E	5	3
fresno_shooting.txt.xml	38	E	8	3, 4, 5
fresno_shooting.txt.xml	39	E	5	1
fresno_shooting.txt.xml	39	E	9	1, 2
fresno_shooting.txt.xml	40	E	1	6, 7, 8
fresno_shooting.txt.xml	40	E	4	6, 7, 8, 9
fresno_shooting.txt.xml	40	E	2	11, 12
